wandb: WARNING Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
  4%|▎         | 17/478 [00:01<00:43, 10.59batch/s]
loss:  tensor(0.6939, grad_fn=<DivBackward1>)
loss:  tensor(0.6935, grad_fn=<DivBackward1>)
loss:  tensor(0.6898, grad_fn=<DivBackward1>)
loss:  tensor(0.6939, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

  8%|▊         | 39/478 [00:03<00:40, 10.87batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 13%|█▎        | 61/478 [00:05<00:38, 10.81batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 17%|█▋        | 81/478 [00:07<00:36, 10.95batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 22%|██▏       | 103/478 [00:09<00:34, 10.93batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 26%|██▌       | 125/478 [00:11<00:31, 11.12batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 31%|███       | 147/478 [00:13<00:30, 11.00batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 35%|███▌      | 169/478 [00:15<00:28, 10.97batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

 40%|███▉      | 191/478 [00:17<00:26, 10.92batch/s]
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)
loss:  tensor(nan, grad_fn=<DivBackward1>)

